campus_id,parking_lot_id,occupied_spaces,available_spaces,occupancy_percentage,predicted_occupancy,status,observation_timestamp,ingestion_timestamp,source,provenance
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:45:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:45:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:45:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:45:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:45:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,3,105,0.0278,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,4,158,0.0247,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,3,105,0.0278,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,3,105,0.0278,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T01:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T02:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,2,160,0.0123,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T03:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,2,106,0.0185,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,3,159,0.0185,"{""t_15min"": 3, ""t_30min"": 3, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,1,71,0.0139,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,1,89,0.0111,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T04:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,4,158,0.0247,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,0,54,0.0,"{""t_15min"": 0, ""t_30min"": 0, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:00:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:15:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:30:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T05:45:00,2026-09-24T12:03:58.655951,synthetic_generator,SYNTHETIC
